"id","postcode","woonplaats","alternatieve_schrijfwijzen","gemeente","provincie","netnummer","latitude","longitude","soort","zipcode"
3458,7825,"Emmen","","Emmen","Drenthe",591,52.7547843,6.9348978,"Adres",NA
3459,7826,"Emmen","","Emmen","Drenthe",591,52.7694721,6.9595536,"Adres",NA
3460,7827,"Emmen","","Emmen","Drenthe",591,52.7465943,6.8909959,"Adres",NA
3461,7828,"Emmen","","Emmen","Drenthe",591,52.7351959,6.9020733,"Adres",NA
3462,7831,"Nieuw-Weerdinge","NIEUW WEERDINGE","Emmen","Drenthe",591,52.8567203,6.9875144,"Adres",NA
3463,7833,"Nieuw-Amsterdam","NIEUW AMSTERDAM","Emmen","Drenthe",591,52.7145064,6.863239,"Adres + Postbus",NA
3464,7841,"Sleen","","Coevorden","Drenthe",591,52.7756717,6.8023989,"Adres",NA
3465,7842,"Diphoorn","","Coevorden","Drenthe",591,52.7700627,6.8197339,"Adres",NA
3466,7843,"Erm","","Coevorden","Drenthe",591,52.75,6.816667,"Adres",NA
3467,7844,"Veenoord","","Emmen","Drenthe",591,52.7145189,6.845464,"Adres",NA
3468,7845,"Holsloot","","Coevorden","Drenthe",591,52.7282157,6.8023629,"Adres",NA
3469,7846,"Noord-Sleen","NOORD SLEEN","Coevorden","Drenthe",591,52.7918785,6.8022555,"Adres",NA
3470,7847,"'t Haantje","T HAANTJE","Coevorden","Drenthe",591,52.8143455,6.8220143,"Adres",NA
3471,7848,"Schoonoord","","Coevorden","Drenthe",591,52.8463259,6.756837,"Adres + Postbus",NA
3472,7849,"De Kiel","","Coevorden","Drenthe",591,52.8633699,6.7316824,"Adres",NA
3473,7851,"Zweeloo","","Coevorden","Drenthe",591,52.7943878,6.7306765,"Adres",NA
3474,7852,"Wezup","","Coevorden","Drenthe",591,52.8120962,6.719235,"Adres",NA
3475,7853,"Wezuperbrug","","Coevorden","Drenthe",591,52.8404098,6.7206171,"Adres",NA
3476,7854,"Aalden","","Coevorden","Drenthe",591,52.7918073,6.7175711,"Adres + Postbus",NA
3477,7855,"Meppen","","Coevorden","Drenthe",591,52.7822588,6.6948796,"Adres",NA
3478,7856,"Benneveld","","Coevorden","Drenthe",591,52.776578,6.7461816,"Adres",NA
3479,7858,"Eeserveen","EESERVEEN BORGER","Borger-Odoorn","Drenthe",599,52.8724234,6.761826,"Adres",NA
3480,7859,"Eeserveen","EESERVEEN BORGER","Borger-Odoorn","Drenthe",599,52.863745,6.7605608,"Adres",NA
3481,7861,"Oosterhesselen","","Coevorden","Drenthe",524,52.757589,6.7173263,"Adres",NA
3482,7863,"Gees","","Coevorden","Drenthe",524,52.7495746,6.6910798,"Adres",NA
3483,7864,"Zwinderen","","Coevorden","Drenthe",524,52.7266049,6.6765411,"Adres",NA
3484,7871,"Klijndijk","","Borger-Odoorn","Drenthe",591,52.8304724,6.857936,"Adres",NA
3485,7872,"Valthe","","Borger-Odoorn","Drenthe",591,52.8454306,6.8941775,"Adres",NA
3486,7873,"Odoorn","","Borger-Odoorn","Drenthe",591,52.8505215,6.8470359,"Adres",NA
3487,7874,"Odoornerveen","","Borger-Odoorn","Drenthe",591,52.843806,6.7865982,"Adres",NA
3488,7875,"Exloo","","Borger-Odoorn","Drenthe",591,52.8826954,6.8648949,"Adres",NA
3489,7876,"Valthermond","","Borger-Odoorn","Drenthe",599,52.8751593,6.948558,"Adres + Postbus",NA
3490,7877,"Tweede Valthermond","","Borger-Odoorn","Drenthe",599,52.8902525,7.0254193,"Adres",NA
3491,7881,"Emmer-Compascuum","EMMER COMPASCUUM;EMMER COMPAS","Emmen","Drenthe",591,52.8117839,7.0457254,"Adres",NA
3492,7884,"Barger-Compascuum","BARGER COMPASCUUM","Emmen","Drenthe",591,52.7548724,7.0416603,"Adres",NA
3493,7885,"Nieuw-Dordrecht","NIEUW DORDRECHT","Emmen","Drenthe",591,52.7485136,6.9678617,"Adres",NA
3494,7887,"Erica","","Emmen","Drenthe",591,52.7103574,6.9281865,"Adres",NA
3495,7889,"Klazienaveen-Noord","","Emmen","Drenthe",592,52.7719191,7.0020222,"Adres",NA
3496,7890,"Klazienaveen","","Emmen","Drenthe",591,52.7151892,6.969668,"Postbus",NA
3497,7891,"Klazienaveen","","Emmen","Drenthe",591,52.7213967,6.9996925,"Adres",NA
3498,7892,"Klazienaveen","","Emmen","Drenthe",591,52.7325933,6.9693983,"Adres",NA
3499,7894,"Zwartemeer","","Emmen","Drenthe",591,52.7201947,7.0416848,"Adres + Postbus",NA
3500,7895,"Roswinkel","","Emmen","Drenthe",591,52.8375134,7.0388792,"Adres",NA
3501,7900,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7259869,6.4749354,"Postbus",NA
3502,7901,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7326738,6.4710625,"Adres",NA
3503,7902,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7250161,6.4882751,"Adres",NA
3504,7903,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7340172,6.4955883,"Adres",NA
3505,7904,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7237037,6.512174,"Adres",NA
3506,7905,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7145175,6.5082697,"Adres",NA
3507,7906,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7144094,6.4857727,"Adres",NA
3508,7907,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7029455,6.4744326,"Adres",NA
3509,7908,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7150409,6.4496397,"Adres",NA
3510,7909,"Hoogeveen","","Hoogeveen","Drenthe",528,52.7140571,6.4183299,"Adres",NA
3511,7911,"Nieuweroord","","Hoogeveen","Drenthe",528,52.7213458,6.5791028,"Adres",NA
3512,7912,"Nieuweroord","","Hoogeveen","Drenthe",528,52.7302483,6.5639159,"Adres",NA
3513,7913,"Hollandscheveld","","Hoogeveen","Drenthe",528,52.7051845,6.5394136,"Adres + Postbus",NA
3514,7914,"Noordscheschut","","Hoogeveen","Drenthe",528,52.7237546,6.5356,"Adres + Postbus",NA
3515,7915,"Alteveer","Alteveer Dr","Hoogeveen","Drenthe",528,52.6827085,6.5007462,"Adres",NA
3516,7916,"Elim","","Hoogeveen","Drenthe",528,52.6813088,6.5800537,"Adres",NA
3517,7917,"Geesbrug","","Coevorden","Drenthe",524,52.727147,6.6343282,"Adres",NA
3518,7918,"Nieuwlande","","Hoogeveen","Drenthe",528,52.6951862,6.6101208,"Adres",NA
3519,7920,"Zuidwolde","","De Wolden","Drenthe",528,52.6648766,6.4396004,"Postbus",NA
3520,7921,"Zuidwolde","","De Wolden","Drenthe",528,52.6743159,6.4258818,"Adres",NA
3521,7924,"Veeningen","","De Wolden","Drenthe",528,52.6694862,6.3713321,"Adres",NA
3522,7925,"Linde","","De Wolden","Drenthe",528,52.6394212,6.4477951,"Adres",NA
3523,7926,"Kerkenveld","","De Wolden","Drenthe",528,52.6674899,6.5046801,"Adres",NA
3524,7927,"Alteveer","","De Wolden","Drenthe",528,52.675,6.486111,"Adres",NA
3525,7929,"Nieuwlande Coevorden","","Coevorden","Drenthe",528,52.7044659,6.6408586,"Adres",NA
3526,7931,"Fluitenberg","","Hoogeveen","Drenthe",528,52.7360087,6.4520253,"Adres",NA
3527,7932,"Echten","","De Wolden","Drenthe",528,52.7120531,6.3989238,"Adres",NA
3528,7933,"Pesse","","Hoogeveen","Drenthe",528,52.7722444,6.4501941,"Adres",NA
3529,7934,"Stuifzand","","Hoogeveen","Drenthe",528,52.7474721,6.49875,"Adres",NA
3530,7935,"Eursinge","","De Wolden","Drenthe",528,52.7770085,6.4440406,"Adres",NA
3531,7936,"Tiendeveen","","Hoogeveen","Drenthe",528,52.74672,6.5437401,"Adres",NA
3532,7938,"Nieuw Balinge","NIEUW-BALINGE","Midden-Drenthe","Drenthe",528,52.7673402,6.6056588,"Adres",NA
3533,7940,"Meppel","","Meppel","Drenthe",522,52.6980793,6.1903523,"Postbus",NA
3534,7941,"Meppel","","Meppel","Drenthe",522,52.6938289,6.1932606,"Adres",NA
3535,7942,"Meppel","","Meppel","Drenthe",522,52.7076267,6.1860545,"Adres",NA
3536,7943,"Meppel","","Meppel","Drenthe",522,52.6955918,6.2108424,"Adres",NA
3537,7944,"Meppel","","Meppel","Drenthe",522,52.6839281,6.1772942,"Adres",NA
3539,7948,"Nijeveen","NYEVEEN","Meppel","Drenthe",522,52.7316875,6.1636226,"Adres",NA
3540,7949,"Rogat","","Meppel","Drenthe",522,52.6881001,6.2656138,"Adres",NA
3545,7957,"De Wijk","DE WYK","De Wolden","Drenthe",522,52.6742848,6.2922178,"Adres + Postbus",NA
3546,7958,"Koekange","","De Wolden","Drenthe",522,52.7000927,6.3184641,"Adres",NA
3547,7961,"Ruinerwold","","De Wolden","Drenthe",522,52.7224272,6.2477691,"Adres",NA
3548,7963,"Ruinen","","De Wolden","Drenthe",522,52.763737,6.3599286,"Adres + Postbus",NA
3549,7964,"Ansen","","De Wolden","Drenthe",522,52.7824535,6.3341311,"Adres",NA
3550,7965,"Broekhuizen","Broekhuizen Dr","Meppel","Drenthe",522,52.694214,6.2664905,"Adres",NA
3551,7966,"De Schiphorst","","Meppel","Drenthe",522,52.6819564,6.2454234,"Adres",NA
3552,7970,"Havelte","","Westerveld","Drenthe",521,52.769872,6.2327874,"Postbus",NA
3553,7971,"Havelte","","Westerveld","Drenthe",521,52.7712587,6.23594,"Adres",NA
3554,7973,"Darp","","Westerveld","Drenthe",521,52.7748364,6.2036734,"Adres",NA
3555,7974,"Havelterberg","","Westerveld","Drenthe",521,52.7730409,6.176729,"Adres",NA
3556,7975,"Uffelte","","Westerveld","Drenthe",521,52.7905962,6.2781653,"Adres",NA
3557,7981,"Diever","","Westerveld","Drenthe",521,52.8547376,6.3177419,"Adres",NA
3558,7983,"Wapse","","Westerveld","Drenthe",521,52.8576344,6.2655306,"Adres",NA
3559,7984,"Dieverbrug","","Westerveld","Drenthe",521,52.846944,6.340833,"Adres",NA
3560,7985,"Geeuwenbrug","","Westerveld","Drenthe",521,52.872778,6.370278,"Adres",NA
3561,7986,"Wittelte","","Westerveld","Drenthe",521,52.8294057,6.3073113,"Adres",NA
3562,7990,"Dwingeloo","","Westerveld","Drenthe",521,52.8357516,6.3634012,"Postbus",NA
3563,7991,"Dwingeloo","","Westerveld","Drenthe",521,52.8353557,6.3658171,"Adres",NA
3745,8351,"Wapserveen","","Westerveld","Drenthe",521,52.8274572,6.2330688,"Adres",NA
3759,8381,"Vledder","","Westerveld","Drenthe",521,52.8574253,6.2104423,"Adres",NA
3760,8382,"Frederiksoord","","Westerveld","Drenthe",521,52.8434333,6.1838777,"Adres",NA
3761,8383,"Nijensleek","NYENSLEEK","Westerveld","Drenthe",521,52.833003,6.1601381,"Adres",NA
3762,8384,"Wilhelminaoord","","Westerveld","Drenthe",521,52.8572074,6.1666239,"Adres",NA
3763,8385,"Vledderveen","","Westerveld","Drenthe",521,52.8763431,6.187924,"Adres",NA
3764,8386,"Doldersum","","Westerveld","Drenthe",521,52.886922,6.2458838,"Adres",NA
3765,8387,"Boschoord","","Westerveld","Drenthe",561,52.883333,6.216667,"Adres",NA
3766,8388,"Oosterstreek","","Weststellingwerf","Friesland",561,52.899167,6.169167,"Adres",NA
3767,8389,"Zandhuizen","","Weststellingwerf","Friesland",561,52.9117216,6.1526872,"Adres",NA
3768,8390,"Noordwolde","","Weststellingwerf","Friesland",561,52.9306298,6.1361115,"Postbus",NA
3769,8391,"Noordwolde","","Weststellingwerf","Friesland",561,52.8905767,6.1412468,"Adres",NA
3770,8392,"Boijl","","Weststellingwerf","Friesland",561,52.9101278,6.2007187,"Adres",NA
3771,8393,"Vinkega","","Weststellingwerf","Friesland",561,52.872999,6.1151444,"Adres",NA
3772,8394,"De Hoeve","","Weststellingwerf","Friesland",561,52.8868001,6.0884871,"Adres",NA
3773,8395,"Steggerda","","Weststellingwerf","Friesland",561,52.8566917,6.0751422,"Adres",NA
3774,8396,"Peperga","","Weststellingwerf","Friesland",561,52.8484746,6.0507283,"Adres",NA
3775,8397,"De Blesse","","Weststellingwerf","Friesland",561,52.8428329,6.041826,"Adres",NA
3776,8398,"Blesdijke","BLESDYKE","Weststellingwerf","Friesland",561,52.8296248,6.0146236,"Adres",NA
3777,8400,"Gorredijk","GORREDYK","Opsterland","Friesland",513,53.0034544,6.064626,"Postbus",NA
3778,8401,"Gorredijk","GORREDYK","Opsterland","Friesland",513,53.003762,6.0648636,"Adres",NA
3779,8403,"Jonkerslân","Jonkersland","Opsterland","Friesland",513,52.97564,6.04255,"Adres",NA
3780,8404,"Langezwaag","","Opsterland","Friesland",513,52.9824148,6.0025602,"Adres",NA
3781,8405,"Luxwoude","","Opsterland","Friesland",513,52.9964646,5.9822194,"Adres",NA
3782,8406,"Tijnje","TYNJE","Opsterland","Friesland",513,53.031338,5.9934442,"Adres",NA
3783,8407,"Terwispel","","Opsterland","Friesland",513,53.0192697,6.0493237,"Adres",NA
3784,8408,"Lippenhuizen","","Opsterland","Friesland",513,53.0174444,6.0919597,"Adres",NA
3785,8409,"Hemrik","","Opsterland","Friesland",516,53.0316772,6.1379988,"Adres",NA
3786,8410,"Jubbega","","Heerenveen","Friesland",516,52.9748154,6.0950066,"Postbus",NA
3787,8411,"Jubbega","","Heerenveen","Friesland",516,53.0034237,6.1221374,"Adres",NA
3788,8412,"Hoornsterzwaag","","Heerenveen","Friesland",516,52.9983239,6.1723081,"Adres",NA
3789,8413,"Oudehorne","","Heerenveen","Friesland",513,52.9609287,6.0765496,"Adres",NA
3790,8414,"Nieuwehorne","","Heerenveen","Friesland",513,52.9483417,6.0570387,"Adres + Postbus",NA
3791,8415,"Bontebok","","Heerenveen","Friesland",513,52.9632199,6.0281857,"Adres",NA
3792,8420,"Oldeberkoop","","Ooststellingwerf","Friesland",516,52.9390541,6.1277258,"Postbus",NA
3793,8421,"Oldeberkoop","","Ooststellingwerf","Friesland",516,52.9386406,6.1307136,"Adres",NA
3794,8422,"Nijeberkoop","NYEBERKOOP","Ooststellingwerf","Friesland",516,52.9586587,6.191014,"Adres",NA
3795,8423,"Makkinga","","Ooststellingwerf","Friesland",516,52.980487,6.2173244,"Adres",NA
3796,8424,"Elsloo","","Ooststellingwerf","Friesland",561,52.9405589,6.2378214,"Adres",NA
3797,8425,"Langedijke","LANGEDYKE","Ooststellingwerf","Friesland",516,52.9616811,6.2816475,"Adres",NA
3798,8426,"Appelscha","","Ooststellingwerf","Friesland",516,52.9523997,6.3563031,"Adres + Postbus",NA
3799,8427,"Ravenswoud","","Ooststellingwerf","Friesland",516,52.9651208,6.3808774,"Adres",NA
3800,8428,"Fochteloo","","Ooststellingwerf","Friesland",516,52.985614,6.3385027,"Adres",NA
3801,8430,"Oosterwolde","Oosterwolde Fr","Ooststellingwerf","Friesland",516,52.9898754,6.2958994,"Postbus",NA
3802,8431,"Oosterwolde","Oosterwolde Fr","Ooststellingwerf","Friesland",516,52.9982454,6.2866004,"Adres + Postbus",NA
3803,8432,"Haule","","Ooststellingwerf","Friesland",516,53.0365305,6.3046863,"Adres",NA
3804,8433,"Haulerwijk","HAULERWYK","Ooststellingwerf","Friesland",516,53.0653054,6.3319233,"Adres + Postbus",NA
3805,8434,"Waskemeer","","Ooststellingwerf","Friesland",516,53.0563837,6.2813745,"Adres + Postbus",NA
3806,8435,"Donkerbroek","","Ooststellingwerf","Friesland",516,53.0173249,6.2349711,"Adres",NA
3807,8437,"Zorgvlied","","Westerveld","Drenthe",521,52.9216165,6.2538379,"Adres",NA
3808,8438,"Wateren","","Westerveld","Drenthe",521,52.9104343,6.2814045,"Adres",NA
3809,8439,"Oude Willem","","Westerveld","Drenthe",521,52.9068106,6.3291884,"Adres",NA
3810,8440,"Heerenveen","","Heerenveen","Friesland",513,52.9614637,5.9210856,"Postbus",NA
3811,8441,"Heerenveen","","Heerenveen","Friesland",513,52.9771023,5.911295,"Adres",NA
3812,8442,"Heerenveen","","Heerenveen","Friesland",513,52.9560115,5.929173,"Adres",NA
3813,8443,"Heerenveen","","Heerenveen","Friesland",513,52.9446734,5.9405193,"Adres",NA
3814,8444,"Heerenveen","","Heerenveen","Friesland",513,52.9305019,5.9546927,"Adres",NA
3815,8445,"Heerenveen","","Heerenveen","Friesland",513,52.9384409,5.9305509,"Adres",NA
3816,8446,"Heerenveen","","Heerenveen","Friesland",513,52.9497769,5.9192052,"Adres",NA
3817,8447,"Heerenveen","","Heerenveen","Friesland",513,52.9611137,5.9078528,"Adres",NA
3818,8448,"Heerenveen","","Heerenveen","Friesland",513,52.9675745,5.9402995,"Adres",NA
3819,8449,"Terband","","Heerenveen","Friesland",513,53.0060142,5.897299,"Adres",NA
3820,8451,"Oudeschoot","","Heerenveen","Friesland",513,52.933158,5.9798679,"Adres",NA
3821,8452,"Nieuweschoot","","Heerenveen","Friesland",513,52.9309449,5.9332436,"Adres",NA
3822,8453,"Oranjewoud","","Heerenveen","Friesland",513,52.9504028,5.9633787,"Adres",NA
3823,8454,"Mildam","","Heerenveen","Friesland",513,52.9349101,6.0030051,"Adres",NA
3824,8455,"Katlijk","KATLYK","Heerenveen","Friesland",513,52.9473703,6.0124351,"Adres",NA
3825,8456,"De Knipe","","Heerenveen","Friesland",513,52.9685087,5.9674586,"Adres",NA
3826,8457,"Gersloot","","Heerenveen","Friesland",513,53.0046927,5.96085,"Adres",NA
3827,8458,"Tjalleberd","","Heerenveen","Friesland",513,52.9978296,5.9432282,"Adres",NA
3828,8459,"Luinjeberd","","Heerenveen","Friesland",513,52.9918842,5.9247596,"Adres",NA
3829,8461,"Rottum","","Skarsterlân","Friesland",513,52.9356565,5.8917903,"Adres",NA
3830,8462,"Rotstergaast","","Skarsterlân","Friesland",513,52.9004303,5.8937014,"Adres",NA
3831,8463,"Rotsterhaule","","Skarsterlân","Friesland",513,52.9227609,5.8449816,"Adres",NA
3832,8464,"Sintjohannesga","SINT JOHANNESGA","Skarsterlân","Friesland",513,52.9363021,5.8659471,"Adres",NA
3833,8465,"Oudehaske","","Skarsterlân","Friesland",513,52.9568858,5.8714262,"Adres",NA
3834,8466,"Nijehaske","NYEHASKE","Skarsterlân","Friesland",513,52.9613501,5.8935762,"Adres",NA
3835,8467,"Vegelinsoord","","Skarsterlân","Friesland",513,52.9993439,5.8636397,"Adres",NA
3836,8468,"Haskerdijken","HASKERDYKEN","Skarsterlân","Friesland",513,52.9927516,5.8820568,"Adres",NA
3837,8469,"Nieuwebrug","","Skarsterlân","Friesland",513,52.9907088,5.8849227,"Adres",NA
3838,8470,"Wolvega","","Weststellingwerf","Friesland",561,52.8781093,5.9887014,"Postbus",NA
3839,8471,"Wolvega","","Weststellingwerf","Friesland",561,52.8676069,6.0013114,"Adres",NA
3840,8472,"Wolvega","","Weststellingwerf","Friesland",561,52.8763149,6.0152733,"Adres",NA
3841,8474,"Oldeholtpade","","Weststellingwerf","Friesland",561,52.8927613,6.047896,"Adres",NA
3842,8475,"Nijeholtpade","NYEHOLTPADE","Weststellingwerf","Friesland",561,52.9124446,6.0783552,"Adres",NA
3843,8476,"Ter Idzard","","Weststellingwerf","Friesland",561,52.9050559,6.0370666,"Adres",NA
3844,8477,"Oldeholtwolde","","Weststellingwerf","Friesland",561,52.9064184,6.0107631,"Adres",NA
3845,8478,"Sonnega","","Weststellingwerf","Friesland",561,52.8697601,5.9684037,"Adres",NA
3846,8479,"Oldetrijne","OLDETRYNE","Weststellingwerf","Friesland",561,52.8619047,5.946056,"Adres",NA
3847,8481,"Nijetrijne","","Weststellingwerf","Friesland",561,52.8429864,5.9086643,"Adres",NA
3848,8482,"Spanga","","Weststellingwerf","Friesland",561,52.8188502,5.8850429,"Adres",NA
3849,8483,"Scherpenzeel","","Weststellingwerf","Friesland",561,52.8317587,5.8754856,"Adres",NA
3850,8484,"Langelille","","Weststellingwerf","Friesland",561,52.8423439,5.8440204,"Adres",NA
3851,8485,"Munnekeburen","","Weststellingwerf","Friesland",561,52.8508842,5.8880353,"Adres",NA
3852,8486,"Oldelamer","","Weststellingwerf","Friesland",561,52.8712795,5.9320965,"Adres",NA
3853,8487,"Nijelamer","NYELAMER","Weststellingwerf","Friesland",561,52.8862115,5.9582476,"Adres",NA
3854,8488,"Nijeholtwolde","NYEHOLTWOLDE","Weststellingwerf","Friesland",561,52.8959354,5.9871194,"Adres",NA
3855,8489,"Slijkenburg","SLYKENBURG","Weststellingwerf","Friesland",527,52.8065575,5.8442817,"Adres",NA
3856,8490,"Akkrum","","Boarnsterhim","Friesland",566,53.0381781,5.8488052,"Postbus",NA
3857,8491,"Akkrum","","Boarnsterhim","Friesland",566,53.0493736,5.8341466,"Adres",NA
3858,8493,"Terherne","TERHORNE","Boarnsterhim","Friesland",566,53.0410043,5.7814,"Adres + Postbus",NA
3859,8494,"Nes","","Boarnsterhim","Friesland",566,53.0683281,5.8652353,"Adres",NA
3860,8495,"Aldeboarn","OLDEBOORN","Boarnsterhim","Friesland",566,53.0481093,5.8924892,"Adres",NA
3861,8497,"Goëngahuizen","GOENGAHUIZEN","Smallingerland","Friesland",566,53.0833333,5.8833333,"Adres",NA
3862,8500,"Joure","","Skarsterlân","Friesland",513,52.967918,5.796805,"Postbus",NA
3863,8501,"Joure","","Skarsterlân","Friesland",513,52.9721559,5.7930415,"Adres",NA
3864,8502,"Joure","","Skarsterlân","Friesland",513,52.9711566,5.8134925,"Adres",NA
3865,8503,"Joure","","Skarsterlân","Friesland",513,52.9628197,5.7635429,"Adres",NA
3866,8505,"Snikzwaag","","Skarsterlân","Friesland",513,52.9853496,5.7877901,"Adres",NA
3867,8506,"Haskerhorne","","Skarsterlân","Friesland",513,52.9533826,5.8293375,"Adres",NA
3868,8507,"Rohel","","Skarsterlân","Friesland",513,52.9174277,5.8318126,"Adres",NA
3869,8508,"Delfstrahuizen","","Lemsterland","Friesland",514,52.8741795,5.8249106,"Adres",NA
3870,8511,"Goingarijp","GOINGARYP","Skarsterlân","Friesland",566,53.0101991,5.7705574,"Adres",NA
3871,8512,"Broek","","Skarsterlân","Friesland",513,52.983056,5.777222,"Adres",NA
3872,8513,"Ouwsterhaule","","Skarsterlân","Friesland",513,52.9389359,5.8135725,"Adres",NA
3873,8514,"Ouwster-Nijega","OUWSTER NYEGA","Skarsterlân","Friesland",513,52.9296763,5.8044253,"Adres",NA
3874,8515,"Oldeouwer","","Skarsterlân","Friesland",513,52.9181233,5.7982042,"Adres",NA
3875,8516,"Doniaga","","Skarsterlân","Friesland",513,52.9056497,5.747647,"Adres",NA
3876,8517,"Scharsterbrug","","Skarsterlân","Friesland",513,52.9430397,5.7776424,"Adres",NA
3877,8520,"Sint Nicolaasga","ST NICOLAASGA","Skarsterlân","Friesland",513,52.9254962,5.7409619,"Postbus",NA
3878,8521,"Sint Nicolaasga","ST NICOLAASGA","Skarsterlân","Friesland",513,52.9243196,5.7406279,"Adres",NA
3879,8522,"Tjerkgaast","","Skarsterlân","Friesland",514,52.9035576,5.6783033,"Adres",NA
3880,8523,"Idskenhuizen","","Skarsterlân","Friesland",513,52.9283231,5.7137736,"Adres",NA
3881,8524,"Teroele","","Skarsterlân","Friesland",513,52.9350628,5.6934478,"Adres",NA
3882,8525,"Langweer","","Skarsterlân","Friesland",513,52.9583718,5.723091,"Adres",NA
3883,8526,"Boornzwaag","","Skarsterlân","Friesland",513,52.958372,5.7456541,"Adres",NA
3884,8527,"Legemeer","","Skarsterlân","Friesland",513,52.9394865,5.7289998,"Adres",NA
3885,8528,"Dijken","DYKEN","Skarsterlân","Friesland",513,52.9511305,5.710463,"Adres",NA
3886,8529,"Koufurderrige","","Wymbritseradiel","Friesland",514,52.9543965,5.6542861,"Adres",NA
3887,8530,"Lemmer","","Lemsterland","Friesland",514,52.8460331,5.6949828,"Postbus",NA
3888,8531,"Lemmer","","Lemsterland","Friesland",514,52.878014,5.6806508,"Adres",NA
3889,8532,"Lemmer","","Lemsterland","Friesland",514,52.8568259,5.7019512,"Adres",NA
3890,8534,"Eesterga","","Lemsterland","Friesland",514,52.868055,5.7283961,"Adres",NA
3891,8535,"Follega","","Lemsterland","Friesland",514,52.8862034,5.7361296,"Adres",NA
3892,8536,"Oosterzee","","Lemsterland","Friesland",514,52.8699773,5.7529451,"Adres",NA
3893,8537,"Echten","","Lemsterland","Friesland",514,52.8765088,5.7952089,"Adres",NA
3894,8538,"Bantega","","Lemsterland","Friesland",514,52.8416244,5.7972027,"Adres",NA
3895,8539,"Echtenerbrug","","Lemsterland","Friesland",514,52.8733749,5.822319,"Adres",NA
3896,8541,"Akmarijp","AKMARYP","Skarsterlân","Friesland",566,53.0056557,5.7886028,"Adres",NA
3897,8542,"Terkaple","","Skarsterlân","Friesland",566,53.0136865,5.7894517,"Adres",NA
3898,8551,"Woudsend","","Wymbritseradiel","Friesland",514,52.9427599,5.6287027,"Adres",NA
3899,8552,"Smallebrugge","","Wymbritseradiel","Friesland",514,52.9580538,5.6377756,"Adres",NA
3900,8553,"Indijk","INDYK","Wymbritseradiel","Friesland",514,52.9467921,5.6018568,"Adres",NA
3901,8554,"IJpecolsga","YPECOLSGA","Wymbritseradiel","Friesland",514,53.1641642,5.7817542,"Adres",NA
